category,district,total_price,land_area_aana,build_up_area,floors,facing,road_width_feet,bedrooms,bathrooms,parking_cars,parking_bikes,house_age,is_under_construction,amenity_count,has_modular_kitchen,has_parquet,has_drainage,has_solar,has_parking,has_garden,is_wide_road,is_area_estimated,luxury_score,price_segment,is_incomplete_listing,log_land,log_build_up,neighborhood_encoded
0,2,32500000.0,4.0,2874.9,3.0,0,13.0,8.0,3.0,1.0,2.0,5.0,0,11,1,0,0,0,1,1,0,1,3,3,0,1.6094379124341003,7.964120947721826,17.013713688849553
0,2,51500000.0,7.1,4252.46,2.5,4,20.0,4.0,4.0,1.0,3.0,8.0,0,11,0,1,1,0,1,1,0,1,4,4,0,2.0918640616783932,8.355488048351502,17.367011640398616
0,1,35000000.0,4.0,3354.05,3.5,4,10.0,8.0,6.0,1.0,5.0,7.0,0,11,0,1,0,0,1,0,0,1,2,3,0,1.6094379124341003,8.118221952424388,17.182845395912853
0,2,32500000.0,4.3,2600.0,2.5,0,20.0,4.0,4.0,1.0,3.0,4.0,0,11,0,1,1,0,1,1,0,0,4,3,0,1.667706820558076,7.8636512654486515,17.136122222322758
0,1,32000000.0,3.1,1856.71,2.5,1,13.0,5.0,6.0,0.0,0.0,8.0,0,11,0,1,1,0,1,0,0,1,3,2,0,1.410986973710262,7.527099825383354,17.12723460309608
0,1,55000000.0,5.2,3114.47,2.5,4,13.0,5.0,3.0,0.0,0.0,7.0,0,11,0,1,0,0,1,0,0,1,2,4,0,1.824549292051046,8.044135302664925,17.438759690783865
0,2,23000000.0,2.3,1377.56,2.5,0,13.0,5.0,3.0,1.0,2.0,8.0,0,11,1,0,0,0,1,1,0,1,3,1,0,1.1939224684724346,7.228794755087915,17.013713688849553
0,1,17000000.0,3.3,1581.19,2.0,0,20.0,3.0,3.0,0.0,0.0,4.0,0,11,0,1,1,0,1,0,0,1,3,1,0,1.4586150226995167,7.366565242253835,16.81301771435073
0,2,24000000.0,2.3,1928.58,3.5,4,13.0,5.0,4.0,0.0,0.0,5.0,0,11,0,1,1,0,1,0,0,1,3,1,0,1.1939224684724346,7.565057641636696,17.136122222322758
0,2,27500000.0,4.0,2395.75,2.5,4,13.0,4.0,4.0,0.0,2.0,8.0,0,11,0,1,1,0,1,0,0,1,3,2,0,1.6094379124341003,7.781868931957106,16.948365884387538
0,2,22500000.0,3.2,1916.6,2.5,4,13.0,4.0,3.0,0.0,2.0,8.0,0,11,0,1,1,0,1,0,0,1,3,1,0,1.4350845252893227,7.558829683120175,16.948365884387538
0,2,18000000.0,4.2,2515.54,2.5,0,13.0,4.0,4.0,0.0,2.0,4.0,0,11,0,1,1,0,1,0,0,1,3,1,0,1.6486586255873816,7.830640221182479,16.811087710450938
0,2,25000000.0,3.2,1916.6,2.5,4,14.0,3.0,3.0,1.0,2.0,5.0,0,11,0,1,1,0,1,0,0,1,3,1,0,1.4350845252893227,7.558829683120175,17.136122222322758
0,2,16500000.0,3.1,742.68,1.0,2,13.0,1.0,1.0,1.0,2.0,8.0,0,11,1,0,0,0,1,1,0,1,3,1,0,1.410986973710262,6.611610834783437,17.013713688849553
0,2,51000000.0,6.3,3773.31,2.5,4,12.0,5.0,5.0,0.0,2.0,4.0,0,11,0,0,1,0,1,0,0,1,2,4,0,1.9878743481543455,8.235972863519605,17.598201792760147
0,2,59900000.0,7.0,4192.56,2.5,0,20.0,5.0,3.0,2.0,4.0,5.0,0,11,0,1,1,0,1,0,0,1,3,4,0,2.0794415416798357,8.341305294179508,17.136122222322758
0,2,32500000.0,4.3,2575.43,2.5,0,20.0,4.0,3.0,2.0,4.0,8.0,0,11,0,1,1,0,1,1,0,1,4,3,0,1.667706820558076,7.854159998759577,17.136122222322758
0,2,27500000.0,3.2,1916.6,2.5,1,13.0,5.0,5.0,0.0,2.0,5.0,0,11,0,1,1,0,1,0,0,1,3,2,0,1.4350845252893227,7.558829683120175,17.598201792760147
0,0,12700000.0,4.0,958.3,1.0,0,13.0,2.0,1.0,0.0,0.0,8.0,0,11,1,0,1,0,0,0,0,1,2,1,0,1.6094379124341003,6.866203851823902,16.608572836737856
0,2,61000000.0,6.0,5031.07,3.5,4,18.0,6.0,4.0,3.0,2.0,12.0,0,11,0,1,1,0,1,1,0,1,4,4,0,1.9459101490553132,8.523586709253314,17.598201792760147
0,2,36900000.0,4.1,2777.93,3.5,4,18.0,5.0,4.0,1.0,3.0,3.0,0,11,0,1,1,0,1,1,0,0,4,3,0,1.62924053973028,7.929821240508381,17.378252251811972
0,2,23000000.0,2.3,1102.04,2.0,0,20.0,3.0,2.0,1.0,1.0,12.0,0,11,1,1,1,0,1,1,0,1,5,1,0,1.1939224684724346,7.005825283328501,17.367011640398616
0,1,32000000.0,4.0,1916.6,2.0,4,14.0,5.0,5.0,6.0,0.0,3.0,0,11,1,1,1,0,1,1,0,1,5,2,0,1.6094379124341003,7.558829683120175,17.66719878919104
0,0,15500000.0,3.2,1916.6,2.5,6,20.0,6.0,3.0,0.0,3.0,4.0,0,11,0,0,0,0,1,0,0,1,1,1,0,1.4350845252893227,7.558829683120175,16.683796763961933
0,1,42500000.0,4.2,2515.54,2.5,7,13.0,7.0,6.0,2.0,4.0,2.0,0,11,0,1,1,0,1,0,0,1,3,3,0,1.6486586255873816,7.830640221182479,17.392791867921286
0,1,65000000.0,7.0,3000.0,2.5,0,24.0,9.0,4.0,1.0,4.0,8.0,0,11,0,0,1,0,1,1,0,0,3,4,0,2.0794415416798357,8.006700845440367,17.650957996489154
0,1,35000000.0,4.0,1916.6,2.0,1,15.0,6.0,5.0,5.0,9.0,6.0,0,11,0,1,1,0,1,1,0,1,4,3,0,1.6094379124341003,7.558829683120175,17.489813046410568
0,1,28000000.0,3.2,2299.92,3.0,4,16.0,6.0,6.0,1.0,2.0,6.0,0,11,0,1,1,0,1,0,0,1,3,2,0,1.4350845252893227,7.741064321938568,17.66719878919104
0,2,13300000.0,3.0,1078.09,1.5,4,13.0,2.0,1.0,1.0,1.0,5.0,0,11,0,0,0,0,1,1,0,1,2,1,0,1.3862943611198906,6.9838733723450055,16.811087710450938
