ad_id,Type,Title,location,Price,Land_Size,Road_Type,Road_Size
HB-E797DF,LandIndividual,Land For Sale at Dhobighat,"Dhobighat, Lalitpur",205000000.0,24.0,Pitched,ThirteenToTwentyFeet
HB-B6AE9D,LandIndividual,"Land on sell at Budhanilkantha,kathmandu","budanilkantha, Budhanilkantha, Kathmandu",2200000.0,52.0,Pitched,ThirteenToTwentyFeet
HB-C86353,Land - Individual,Land for Sale at Baneshwor,"Prabachan Marg, सिर्जना टोल, बानेश्वर, Kathmandu-10, काठमाडौं, काठमाडौँ महानगरपालिका, काठमाडौं, बाग्मती प्रदेश, 00446, नेपाल",7000000.0,35.0,Pitched,13 - 20 Ft.
HB-53DFA9,Land - Plotted,chovar kirtpur ma 26 foot bato ma Sato jaga aayo,"Chwase Water tank, F22, चोभार, Kirtipur-06, कीर्तिपुर नगरपालिका, काठमाडौं, बाग्मती प्रदेश, 13775, नेपाल",2800000.0,3.0,Pitched,Above 20 Ft.
HB-FDB7D2,LandIndividual,"Land on sell at Budhanilkantha,Kathmandu","budanilkantha, Budhanilkantha, Kathmandu",36000000.0,6.0,Pitched,ThirteenToTwentyFeet
HB-D7AABF,LandIndividual,Land For Sale at Harisiddhi,"Khumaltar Dhapakhel Hattiban, Harisiddhi Area, Lalitpur",11700000.0,3.1,Gravel,ThirteenToTwentyFeet
HB-753AB4,LandIndividual,Land For Sale at Kirtipur,"kritipur, Bhatkepati (Kirtipur), Kathmandu",31000000.0,6.2,Pitched,ThirteenToTwentyFeet
HB-FADB19,5,5 AANA LAND FOR SALE IN OGLAPURI VILLAGE BUNGMATI,"Bungamati (Karyabinayak), Lalitpur",4500000.0,4.99926953981008,LandIndividual,Non
HB-7649F5,LandIndividual,"Land on sell at Dhumbarai,kathmandu","dumbarahi, Dhumbarahi, Kathmandu",57700000.0,8.25,Pitched,ThirteenToTwentyFeet
HB-D71F23,LandIndividual,"Land on sell at Chundevi Height,Kathmandu","Chundevi (Maharajgunj), Kathmandu",8000000.0,8.0,Pitched,ThirteenToTwentyFeet
HB-975AE3,LandIndividual,1 Ropani land on sale in Budhanilkantha-24ft Road,"Hattigaunda Bhangal Chapali Chunikhel Hepali Height Italitar Khadka Bhadrakali Narayanthan Mahankhal Pasikot Golfutar Budanilkantha, Budhanilkantha Area, Kathmandu",5200000.0,16.0,Gravel,AboveTwentyFeet
HB-CE7862,Land - Plotted,kirtipur saukhel fresh plotting,"Charghare road, द:न, लखु, Kirtipur-05, कीर्तिपुर नगरपालिका, काठमाडौं, बाग्मती प्रदेश, 44618, नेपाल",2700000.0,5.0,Gravel,Above 20 Ft.
HB-6FF15A,77 aana,"77 AANA LAND FOR SALE IN CHARELI, CHANGUNARAYAN","Changunarayan, Bhaktapur",1000000.0,77.0,LandIndividual,Non
HB-3348C4,LandCommercialUse,Commercial Property for sale at Thamel 22Ana @55cr,"Thamel, Kathmandu",550000000.0,22.0,Pitched,AboveTwentyFeet
HB-405586,LandIndividual,1 Ropani Land on sale in Budhanilkantha Height,"budanilkantha, Budhanilkantha, Kathmandu",3800000.0,16.0,Gravel,ThirteenToTwentyFeet
HB-39FD91,Land - Individual,Good Land With Tahara On Sale,"Gyaneshwar, Maitidevi, Kathmandu, Kathmandu Metropolitan City, Kathmandu",17500000.0,4.0,Pitched,9 - 12 Ft.
HB-E76263,Land - Plotted,4 aana 2 daam land on sale at chaghu-2 kathmandu,"Changunarayan-01, Changunarayan, चाँगुनारायण नगरपालिका, भक्तपुर, बाग्मती प्रदेश, 97701, नेपाल",1400000.0,4.0,Gravel,13 - 20 Ft.
HB-B535C0,Land - Plotted,5 aana 1 paisa land on sale at raniban plotting,"Nagarjun-01, नागार्जुन नगरपालिका, काठमाडौं, बाग्मती प्रदेश, 44601, नेपाल",5000000.0,5.0,Pitched,13 - 20 Ft.
HB-B5FAE9,Land - Individual,सस्तो मूल्यमा आकर्षक जग्गा बिक्रिमा,"Palu bari, Shankharapur-05, Shankharapur, काठमाडौं, बाग्मती प्रदेश, 44812, नेपाल",7500000.0,5.0,Gravel,13 - 20 Ft.
HB-CD0F21,Land - Individual,"4 Anna Land on Sale Near Gahanapokhari, Handigaoun","Shanti Buddha Vehicle Pvt.Ltd, लामो ढुंगा मार्ग, कोटल टोल, Kathmandu-05, काठमाडौं, काठमाडौँ महानगरपालिका, काठमाडौं, बाग्मती प्रदेश, 00975, नेपाल",30000000.0,4.0,Gravel,5 - 8 Ft.
