district,property_type,property_face,road_type,furnishing,municipality,ward_no,neighborhood,bedrooms,kitchens,bathrooms,living_rooms,parking,total_floors,total_price,land_size_aana,built_up_sqft,house_age,road_width_feet,hospital_m,airport_m,pharmacy_m,bhatbhateni_m,school_m,college_m,public_transport_m,police_station_m,boudhanath_m,ring_road_m
Kathmandu,Residential,South,Low Access,Unfurnished,Kathmandu,6,Boudha,4.0,3.0,3.0,2.0,2.0,2.5,27000000.0,2.62,855.62,3.0,20.0,1000.0,6000.0,778.0,2000.0,1000.0,1000.0,500.0,1000.0,1000.0,2000.0
Kathmandu,Residential,South,High Access,Semi Furnished,Kathmandu,9,Sinamangal,4.0,2.0,3.0,1.0,2.0,2.5,40000000.0,4.06,2598.935,22.0,10.0,100.0,1000.0,200.0,1000.0,300.0,400.0,100.0,100.0,5000.0,1000.0
Kathmandu,Residential,South-East,High Access,Unfurnished,Kathmandu,11,Budget_Zone,6.0,2.0,4.0,2.0,1.0,3.0,46500000.0,5.5,1197.88,12.0,13.0,1000.0,2000.0,90.0,1220.0,100.0,420.0,100.0,310.0,4000.0,570.0
Kathmandu,Residential,North-East,High Access,Semi Furnished,Budhanilkantha,4,Budhanilkantha,5.0,1.0,6.0,3.0,3.0,2.5,35000000.0,5.75,1197.87,7.0,20.0,1000.0,7000.0,100.0,2000.0,1000.0,1000.0,100.0,1000.0,6000.0,2000.0
Kathmandu,Commercial,North-West,High Access,Unfurnished,Kathmandu,26,Ranibari,13.0,1.0,5.0,1.0,1.0,3.5,35000000.0,3.25,855.62,5.0,18.0,1046.7625523012553,6408.157488419969,235.14698795180723,2009.0114526823388,351.83984589983487,676.6095054592164,246.62772585669782,622.2681787858572,7701.352813852814,2700.7269155206286
Kathmandu,Residential,North-West,High Access,Unfurnished,Kathmandu,26,Samakhusi,6.0,2.0,5.0,2.0,2.0,2.5,24000000.0,4.0,1026.75,10.0,4.0,1046.7625523012553,6408.157488419969,235.14698795180723,2009.0114526823388,351.83984589983487,676.6095054592164,246.62772585669782,622.2681787858572,7701.352813852814,2700.7269155206286
Kathmandu,Residential,North,High Access,Semi Furnished,Tokha,6,Grande Villa,5.0,2.0,4.0,2.0,1.0,2.5,26500000.0,2.75,855.62,1.0,16.0,200.0,7000.0,100.0,500.0,50.0,210.0,100.0,500.0,6000.0,2000.0
Kathmandu,Residential,East,High Access,Semi Furnished,Kathmandu,10,Baneshwor,6.0,2.0,4.0,2.0,1.0,2.5,38000000.0,3.5,1406.65,24.0,10.0,200.0,200.0,100.0,1000.0,200.0,200.0,200.0,300.0,6000.0,2000.0
Kathmandu,Residential,West,High Access,Unfurnished,Kathmandu,4,Premium_Zone,6.0,2.0,6.0,2.0,4.0,2.5,115000000.0,11.0,1711.25,17.0,12.0,1000.0,4000.0,130.0,1000.0,100.0,360.0,100.0,400.0,3000.0,730.0
Kathmandu,Residential,South,High Access,Semi Furnished,Kathmandu,1,Gyaneshwor,5.0,1.0,4.0,1.0,3.0,2.5,140000000.0,10.0,2053.5,22.0,16.0,100.0,1000.0,100.0,300.0,200.0,200.0,50.0,100.0,4000.0,100.0
