district,road_type,land_size_aana,price_per_aana,is_large_plot,road_width_feet,is_wide_road,facing,source,log_land,neighborhood_encoded
2,0,5.5,5800000.0,0,13.0,0,7,0,1.8718021769015913,15.49449325266486
1,0,5.0,8800000.0,0,13.0,0,7,0,1.791759469228055,15.904032096189777
1,3,6.75,2400000.0,0,13.0,0,7,0,2.0476928433652555,14.904476029399897
1,0,7.0,6600000.0,0,13.0,0,7,0,2.0794415416798357,15.797351059185896
2,0,5.56,3800000.0,0,13.0,0,7,0,1.8809906029559975,15.294679270475806
1,0,14.0,9200000.0,0,13.0,0,7,0,2.70805020110221,15.797351059185896
1,2,3.0,5500000.0,0,13.0,0,7,0,1.3862943611198906,15.797351059185896
1,2,3.0,3200000.0,0,13.0,0,7,0,1.3862943611198906,14.854775753972746
0,0,9.5,1850000.0,0,13.0,0,7,0,2.3513752571634776,14.076963152141449
1,3,6.0,4500000.0,0,13.0,0,7,0,1.9459101490553132,15.371640665662257
1,1,6.0,7500000.0,0,13.0,0,7,0,1.9459101490553132,15.797351059185896
1,3,3.25,3300000.0,0,13.0,0,7,0,1.4469189829363254,14.871275810783608
1,3,4.0,6500000.0,0,13.0,0,7,0,1.6094379124341003,15.322788745766916
1,2,3.0,3500000.0,0,13.0,0,7,0,1.3862943611198906,15.170230074637265
1,2,8.0,5600000.0,0,13.0,0,7,0,2.1972245773362196,15.170230074637265
1,0,4.0,4500000.0,0,13.0,0,7,0,1.6094379124341003,15.371640665662257
2,0,4.0,12000000.0,0,13.0,0,7,0,1.6094379124341003,15.492551019773426
2,0,4.0,4500000.0,0,13.0,0,7,0,1.6094379124341003,15.49449325266486
1,0,3.5,1400000.0,0,13.0,0,7,0,1.5040773967762742,15.169167886528076
2,0,16.0,11500000.0,0,13.0,0,7,0,2.833213344056216,15.49449325266486
2,2,4.0,3800000.0,0,13.0,0,7,0,1.6094379124341003,15.371640665662257
2,0,6.5,6200000.0,0,13.0,0,7,0,2.0149030205422647,15.28523681593225
1,0,3.2,4200000.0,0,13.0,0,7,0,1.4350845252893227,15.295651115191049
1,0,4.3,4300000.0,0,13.0,0,7,0,1.667706820558076,15.350633323522374
2,3,5.0,1350000.0,0,13.0,0,7,0,1.791759469228055,14.979781014302722
1,0,3.0,5000000.0,0,13.0,0,7,0,1.3862943611198906,15.371640665662257
1,1,9.0,5000000.0,0,13.0,0,7,0,2.302585092994046,15.28609246171445
0,3,4.0,3000000.0,0,13.0,0,7,0,1.6094379124341003,14.871275810783608
2,2,21.0,2200000.0,0,13.0,0,7,0,3.091042453358316,14.871275810783608
2,2,10.0,3700000.0,0,13.0,0,7,0,2.3978952727983707,15.324399831021834
2,0,7.0,5700000.0,0,13.0,0,7,0,2.0794415416798357,15.324399831021834
1,2,14.0,6700000.0,0,13.0,0,7,0,2.70805020110221,15.797351059185896
1,2,20.0,6400000.0,0,13.0,0,7,0,3.044522437723423,15.797351059185896
2,0,4.0,675000.0,0,13.0,0,7,0,1.6094379124341003,13.718117944699145
1,2,40.0,5800000.0,0,13.0,0,7,0,3.713572066704308,15.170230074637265
0,2,5.0,3050000.0,0,13.0,0,7,0,1.791759469228055,15.230403246494165
1,0,4.81,4800000.0,0,13.0,0,7,0,1.7595805708638197,14.970235115388723
1,3,50.0,2200000.0,1,13.0,0,7,0,3.9318256327243257,14.871275810783608
1,0,27.0,6500000.0,0,13.0,0,7,0,3.332204510175204,15.28609246171445
1,0,15.0,5000000.0,0,13.0,0,7,0,2.772588722239781,15.313029409818094
1,0,5.0,2200000.0,0,13.0,0,7,0,1.791759469228055,14.601202121683125
1,0,8.0,4500000.0,0,13.0,0,7,0,2.1972245773362196,15.350633323522374
0,0,5.9375,3800000.0,0,13.0,0,7,0,1.936941479072553,15.371640665662257
1,3,40.5,1500000.0,0,13.0,0,7,0,3.7256934272366524,14.076963152141449
1,3,9.5,7000000.0,0,13.0,0,7,0,2.3513752571634776,14.904476029399897
2,0,22.0,12500000.0,0,13.0,0,7,0,3.1354942159291497,16.20975476797233
2,0,7.0,20000000.0,0,13.0,0,7,0,2.0794415416798357,16.20975476797233
2,3,12.0,15500000.0,0,13.0,0,7,0,2.5649493574615367,16.502809585375125
1,3,9.0,3100000.0,0,13.0,0,7,0,2.302585092994046,14.871275810783608
2,2,4.0,3700000.0,0,13.0,0,7,0,1.6094379124341003,14.871275810783608
0,0,3.3,9000000.0,0,13.0,0,7,0,1.4586150226995167,15.797351059185896
1,3,9.99853907962016,19000000.0,0,13.0,0,7,0,2.3977624530345945,16.34044893073437
1,0,32.0,1300000.0,0,13.0,0,7,0,3.4965075614664802,15.169167886528076
1,0,22.0,14000000.0,0,13.0,0,7,0,3.1354942159291497,16.34044893073437
2,0,4.0,3500000.0,0,13.0,0,7,0,1.6094379124341003,15.814467084231444
2,0,4.0,5200000.0,0,13.0,0,7,0,1.6094379124341003,15.319816389610905
1,0,4.0,3000000.0,0,13.0,0,7,0,1.6094379124341003,14.871275810783608
1,0,4.0,3600000.0,0,13.0,0,7,0,1.6094379124341003,14.871275810783608
1,0,5.75,9800000.0,0,13.0,0,7,0,1.9095425048844386,15.797351059185896
1,3,13.0,7000000.0,0,13.0,0,7,0,2.6390573296152584,15.797351059185896
1,3,4.1,7000000.0,0,13.0,0,7,0,1.62924053973028,15.797351059185896
2,0,8.0,4500000.0,0,13.0,0,7,0,2.1972245773362196,15.49449325266486
2,1,4.0,6200000.0,0,13.0,0,7,0,1.6094379124341003,15.797351059185896
1,1,8.0,6500000.0,0,13.0,0,7,0,2.1972245773362196,15.828606380637403
1,0,4.0,14900000.0,0,13.0,0,7,0,1.6094379124341003,15.797351059185896
1,2,6.0,6700000.0,0,13.0,0,7,0,1.9459101490553132,15.828606380637403
1,2,10.0,6500000.0,0,13.0,0,7,0,2.3978952727983707,15.371640665662257
1,0,8.0,17500000.0,0,13.0,0,7,0,2.1972245773362196,15.828606380637403
1,3,4.0,2500000.0,0,13.0,0,7,0,1.6094379124341003,14.663045095681253
1,0,5.0,7000000.0,0,13.0,0,7,0,1.791759469228055,15.797351059185896
1,0,4.0,6500000.0,0,13.0,0,7,0,1.6094379124341003,15.245256633717792
2,1,4.0,4500000.0,0,13.0,0,7,0,1.6094379124341003,15.371640665662257
2,2,4.0,3500000.0,0,13.0,0,7,0,1.6094379124341003,14.871275810783608
2,2,4.0,3500000.0,0,13.0,0,7,0,1.6094379124341003,14.871275810783608
1,2,3.0,3500000.0,0,13.0,0,7,0,1.3862943611198906,15.28609246171445
0,0,3.2,7000000.0,0,13.0,0,7,0,1.4350845252893227,15.797351059185896
1,0,20.0,4600000.0,0,13.0,0,7,0,3.044522437723423,15.28609246171445
2,0,8.0,2535000.0,0,13.0,0,7,0,2.1972245773362196,14.871275810783608
1,2,4.0,5600000.0,0,13.0,0,7,0,1.6094379124341003,15.28609246171445
1,1,10.0,3600000.0,0,13.0,0,7,0,2.3978952727983707,15.28609246171445
1,0,7.0,4000000.0,0,13.0,0,7,0,2.0794415416798357,15.28609246171445
1,3,4.5,6500000.0,0,13.0,0,7,0,1.7047480922384253,15.594158762858596
1,0,4.0,6300000.0,0,13.0,0,7,0,1.6094379124341003,15.720141408680858
1,0,6.0,7000000.0,0,13.0,0,7,0,1.9459101490553132,15.720141408680858
1,0,12.0,7000000.0,0,13.0,0,7,0,2.5649493574615367,15.720141408680858
1,0,4.0,8200000.0,0,13.0,0,7,0,1.6094379124341003,15.797351059185896
1,0,3.0,3500000.0,0,13.0,0,7,0,1.3862943611198906,15.295651115191049
1,0,4.0,4400000.0,0,13.0,0,7,0,1.6094379124341003,15.295651115191049
2,1,3.0,2300000.0,0,13.0,0,7,0,1.3862943611198906,14.473552156760146
2,3,8.0,500000.0,0,13.0,0,7,0,2.1972245773362196,13.95994567052874
1,1,4.0,2700000.0,0,13.0,0,7,0,1.6094379124341003,14.871275810783608
2,3,5.0,5000000.0,0,13.0,0,7,0,1.791759469228055,15.49449325266486
2,3,18.0,4300000.0,0,13.0,0,7,0,2.9444389791664403,15.49449325266486
