location_raw,facing,price_amount_npr,price_unit,road_width_feet,road_surface,land_size_aana,district
"Pepsicola, Kathmandu",East,6500000.0,per_aana,14.0,Paved,,Kathmandu
"Manamaiju, Kathmandu",South-West,5500000.0,per_aana,,,5.1,Kathmandu
"Lokanthali, Bhaktapur",North-East,4900000.0,per_aana,26.0,Soil Stabilized,,Bhaktapur
"Budhanilkantha, Kathmandu",North,4500000.0,per_aana,,,,Kathmandu
"Baluwatar, Kathmandu",South,6800000.0,per_aana,,,,Kathmandu
"Pasikot, Kathmandu",East,25000000.0,total,20.0,Black Topped,5.3,Kathmandu
"Lokanthali, Bhaktapur",South,4500000.0,per_aana,10.0,Paved,,Bhaktapur
"Pepsicola, Kathmandu",East,6500000.0,per_aana,14.0,Paved,,Kathmandu
"Lubhu, Lalitpur",South-East,3200000.0,per_aana,20.0,Soil Stabilized,,Lalitpur
"Pepsicola, Kathmandu",West,6000000.0,per_aana,20.0,Soil Stabilized,,Kathmandu
"Thali, Kathmandu",West,3200000.0,per_aana,13.0,Dhalan,,Kathmandu
"Imadol, Lalitpur",North-East,4500000.0,per_aana,13.0,Paved,,Lalitpur
"Dhobighat, Lalitpur",North,6500000.0,per_aana,,,,Lalitpur
"Ochu Height, Lalitpur",East,4800000.0,per_aana,13.0,Soil Stabilized,,Lalitpur
"Changathali, Lalitpur",South,4000000.0,per_aana,13.0,Dhalan,,Lalitpur
"Hariyalinagar, Kathmandu",North,2200000.0,per_aana,16.0,Dhalan,,Kathmandu
"Lubhu, Lalitpur",South,2800000.0,per_aana,20.0,Soil Stabilized,,Lalitpur
"Chhauni, Kathmandu",South,6500000.0,per_aana,,,,Kathmandu
"White Gumba, Kathmandu",East,1700000.0,per_aana,13.0,Black Topped,,Kathmandu
"Baluwa, Kathmandu",,950000.0,per_aana,13.0,Gravelled,3.1,Kathmandu
"Ramkot, Kathmandu",South,3500000.0,per_aana,13.0,Dhalan,3.2,Kathmandu
"Harisiddhi, Lalitpur",South,4000000.0,per_aana,20.0,Soil Stabilized,4.2,Lalitpur
"Gundu, Bhaktapur",East,1500000.0,per_aana,,,,Bhaktapur
"Budhanilkantha, Kathmandu",South-West,4300000.0,per_aana,16.0,Black Topped,,Kathmandu
"Shivanagar, Chitwan",East,,,20.0,Black Topped,,Unknown
"Bhaisepati, Lalitpur",South,4500000.0,per_aana,13.0,Soil Stabilized,,Lalitpur
"Tokha, Kathmandu",West,6800000.0,per_aana,13.0,Black Topped,,Kathmandu
"Changathali, Lalitpur",South-East,3500000.0,per_aana,20.0,Soil Stabilized,,Lalitpur
"Pepsicola, Kathmandu",East,6500000.0,per_aana,20.0,Soil Stabilized,4.2,Kathmandu
"Kusunti, Lalitpur",East,,,26.0,Soil Stabilized,,Lalitpur
"Hepali Height, Kathmandu",South,6500000.0,per_aana,,,3.2,Kathmandu
"Bansbari, Kathmandu",South,6500000.0,per_aana,16.0,Black Topped,,Kathmandu
"Bansbari, Kathmandu",East,5600000.0,per_aana,16.0,Dhalan,,Kathmandu
"Budhanilkantha, Kathmandu",North,5500000.0,per_aana,,,,Kathmandu
"Balkot, Bhaktapur",East,3800000.0,per_aana,13.0,Paved,,Bhaktapur
"Sirutar, Bhaktapur",East,3100000.0,per_aana,13.0,Soil Stabilized,3.2,Bhaktapur
"Lubhu, Lalitpur",South,2800000.0,per_aana,20.0,Paved,,Lalitpur
"Tikathali, Lalitpur",South,3000000.0,per_aana,13.0,Soil Stabilized,,Lalitpur
"Sanagaun, Lalitpur",East,5500000.0,per_aana,13.0,Paved,2.2,Lalitpur
"Maharajgunj, Kathmandu",South-East,7600000.0,per_aana,20.0,Black Topped,6.3,Kathmandu
"Rampur, Dhanusa",West,,,20.0,Dhalan,0.4,Unknown
"Banasthali, Kathmandu",,60000.0,per_sqm,,,,Kathmandu
"Sirutar, Bhaktapur",South-West,2700000.0,per_aana,20.0,Soil Stabilized,,Bhaktapur
"Sirutar, Bhaktapur",East,3300000.0,per_aana,13.0,Soil Stabilized,,Bhaktapur
"Sitapakha, Lalitpur",South,4000000.0,per_aana,13.0,Soil Stabilized,,Lalitpur
"Sunkhani, Nuwakot",North,1400000.0,per_ropani,12.0,Soil Stabilized,,Unknown
"Sunkhani, Nuwakot",East,125000000.0,total,16.0,Soil Stabilized,,Unknown
"Lubhu, Lalitpur",North-West,2900000.0,per_aana,13.0,Soil Stabilized,3.2,Lalitpur
"Lubhu, Lalitpur",East,4000000.0,per_aana,13.0,Paved,3.2,Lalitpur
"Tikathali, Lalitpur",South,4500000.0,per_aana,13.0,Paved,,Lalitpur
"Birtamode, Jhapa",North,800000.0,per_dhur,20.0,Soil Stabilized,,Unknown
"Kadaghari, Kathmandu",South,3900000.0,per_aana,20.0,Soil Stabilized,,Kathmandu
