category,location_raw,district,neighborhood,road_type,land_size_aana,price_per_aana,calculated_total_price,is_price_suspect,is_price_outlier,is_rate_outlier,is_large_plot,road_width_feet,is_wide_road,facing,source,price_segment
land,"Bhaisepati, Lalitpur, Lalitpur-18, Lalitpur",Lalitpur,Bhaisepati,High Access,4.0,4500000.0,18000000.0,False,False,False,False,13.0,False,Unknown,hamrobazaar,2. Mid-Range
land,"Nagarjun, Nagarjun-10, Kathmandu",Kathmandu,Nagarjun,High Access,3.5,1400000.0,4900000.0,False,False,False,False,13.0,False,Unknown,hamrobazaar,1. Budget
land,"Bhaisipati, Lalitpur-25, Lalitpur",Lalitpur,Bhaisepati,High Access,16.0,11500000.0,184000000.0,False,False,False,False,13.0,False,Unknown,hamrobazaar,4. Ultra-Luxury
land,"Siddhipur, Mahalaxmi-6, Lalitpur, Bagmati Pradesh",Lalitpur,Mid_Zone,Mid Access,4.0,3800000.0,15200000.0,False,False,False,False,13.0,False,Unknown,hamrobazaar,2. Mid-Range
land,"Satdobato-Godawari Road, Godawari-3, Lalitpur, Bagmati Pradesh",Lalitpur,Satdobato,High Access,6.5,6200000.0,40300000.0,False,False,False,False,13.0,False,Unknown,hamrobazaar,2. Mid-Range
land,"Bhangal 8, Budhanilakantha-8, Kathmandu",Kathmandu,Bhangal,High Access,3.2,4200000.0,13440000.0,False,False,False,False,13.0,False,Unknown,hamrobazaar,2. Mid-Range
land,"Chapali Ghumti, Budhanilakantha-4, Kathmandu",Kathmandu,Chapali Ghumti,High Access,4.3,4300000.0,18490000.0,False,False,False,False,13.0,False,Unknown,hamrobazaar,2. Mid-Range
land,"Mahalaxmi-9, Lalitpur, Bagmati Pradesh",Lalitpur,Mahalaxmi,Unknown,5.0,1350000.0,6750000.0,False,False,False,False,13.0,False,Unknown,hamrobazaar,1. Budget
land,"Lakhe Chaur, Kathmandu-10, Kathmandu, Bagmati Pradesh",Kathmandu,Mid_Zone,High Access,3.0,5000000.0,15000000.0,False,False,False,False,13.0,False,Unknown,hamrobazaar,2. Mid-Range
land,"Budhanilakantha-7, Kathmandu, Bagmati Pradesh",Kathmandu,Budhanilkantha,Low Access,9.0,5000000.0,45000000.0,False,False,False,False,13.0,False,Unknown,hamrobazaar,2. Mid-Range
land,"Masandol, Ethuli Planning Sadak, Changunarayan-9, Bhaktapur, Bagmati Pradesh",Bhaktapur,Budget_Zone,Unknown,4.0,3000000.0,12000000.0,False,False,False,False,13.0,False,Unknown,hamrobazaar,1. Budget
land,"Khuipu, Shiva Dol Marg, Lalitpur-22, Lalitpur, Bagmati Pradesh",Lalitpur,Budget_Zone,Mid Access,21.0,2200000.0,46200000.0,False,False,False,False,13.0,False,Unknown,hamrobazaar,1. Budget
land,"Lalitpur-25, Lalitpur, Bagmati Pradesh",Lalitpur,Lalitpur-25,Mid Access,10.0,3700000.0,37000000.0,False,False,False,False,13.0,False,Unknown,hamrobazaar,2. Mid-Range
land,"Lalitpur-25, Lalitpur, Bagmati Pradesh",Lalitpur,Lalitpur-25,High Access,7.0,5700000.0,39900000.0,False,False,False,False,13.0,False,Unknown,hamrobazaar,2. Mid-Range
land,"आनन्द नगर, महाङ्काल, बूढानीलकण्ठ नगरपालिका, काठमाडौं जिल्ला",Kathmandu,High_Zone,Mid Access,14.0,6700000.0,93800000.0,False,False,False,False,13.0,False,Unknown,hamrobazaar,3. High-End
