title,location_raw,floors,price_npr,land_size_aana,buildup_area_sqft,road_width_feet,facing,built_year_bs,built_year_ad,house_age,parking_cars,parking_bikes,bedrooms,bathrooms,amenities,district
Residential house on urgent sale in Goldhunga,"Goldhunga, Kathmandu",3.5,29900000.000000004,3.0,1711.475,10.0,West,2078.0,2021.0,4.0,,,8.0,4.0,"Earthquake Resistant, Marbel, Gym, Fridge, Sofa, Dining Room, Bed Room, Garden, Modular Kitchen, Drinking Water, Bathroom",Kathmandu
"House on sale in Goldhunga, Purano Gujeswori","Guheshwori, Kathmandu",4.5,35000000.0,4.0,,26.0,East,2078.0,2021.0,4.0,,,,4.0,"Drainage, Bathroom, Drinking Water, Power Backup",Kathmandu
Luxurious bungalow for rent in Baluwatar,"Baluwatar, Kathmandu",2.5,500000.0,17.0,,15.0,South,2078.0,2021.0,4.0,,,7.0,5.0,"Marbel, Parquet, Bathroom, Drinking Water, Drainage, Parking, Garden, Power Backup",Kathmandu
Commercial house for rent at Baluwatar,"Baluwatar, Kathmandu",2.5,250000.0,28.0,,13.0,West,2076.0,2019.0,6.0,,,5.0,4.0,"Drainage, Bathroom, Drinking Water, Parking, Garden",Kathmandu
"Semi furnished bungalow for rent in CG Hills, Hattigauda","Hattigaunda, Kathmandu",2.0,130000.0,5.0,,20.0,North,2076.0,2019.0,6.0,,,4.0,2.0,"Drinking Water, Bathroom, Drainage, Parking, Swimming Pool, Power Backup, Internet, Parquet, Washing Machine, AirCon",Kathmandu
"Furnished bungalow for rent in CG Hills, Hattigauda","Hattigaunda, Kathmandu",2.5,130000.0,4.0,,17.0,South-East,2075.0,2018.0,7.0,,,4.0,4.0,"Bathroom, Drinking Water, Drainage, Parking, Fridge, Power Backup, Internet, Garden, Parquet, Marbel, AirCon",Kathmandu
Semi furnished bungalow for sale at Nakkhudole,"Nakhudole, Lalitpur",2.5,40000000.0,4.0,,17.0,East,2076.0,2019.0,6.0,,,5.0,5.0,"Earthquake Resistant, Marbel, Bathroom, Drainage, Parking, Internet",Lalitpur
"House on sale near Karuna Hospital, Chunikhel","Chunikhel, Kathmandu",1.0,13300000.0,3.0,,12.0,South,2071.0,2014.0,11.0,,,2.0,1.0,"Drainage, Bathroom, Parking, Earthquake Resistant",Kathmandu
"House on sale near Police Station, Imadol","Imadol, Lalitpur",2.5,19000000.0,2.2,1572.65,10.0,South,2078.0,2021.0,4.0,,,4.0,2.0,"Drainage, Bathroom, Parking, Earthquake Resistant",Lalitpur
"House on rent in Vinayak Tole, Dhapasi","Dhapasi, Kathmandu",3.0,80000.0,7.0,,26.0,East,2077.0,2020.0,5.0,,,8.0,4.0,"Earthquake Resistant, Marbel, Washing Machine, Water Purifier, MiCrowave, Bed Room, Garden, Playground, Drinking Water, Internet, Bathroom",Kathmandu
"House for Sale near Khushi Khushi Resort, Matatirtha","Matatirtha, Kathmandu",3.0,40000000.0,13.3,1700.0,16.0,North-East,2077.0,2020.0,5.0,,,6.0,4.0,"Fridge, Sofa, CC Camera, Power Backup, Dining Room, MiCrowave, Garden, Bed Room, Washing Machine, Modular Kitchen, Playground",Kathmandu
"House on sale in Dhunchepakha, Thimi","Dhunchepakha, Bhaktapur",2.5,70000000.0,15.0,2935.0,36.0,South,2078.0,2021.0,4.0,,,7.0,2.0,"Marbel, Power Backup, Dining Room, Drainage, Drinking Water, Playground, Parking, Power Backup, Bathroom, Modular Kitchen",Bhaktapur
Residential house for sale in Kapan Height,"Kapan, Kathmandu",2.5,33000000.0,3.3,,22.0,South,2075.0,2018.0,7.0,,,6.0,,"Marbel, Drinking Water, Bathroom, Drainage, Parking",Kathmandu
"Commercial house on sale behind Patan Museum, Patan","Patan, Lalitpur",4.0,18000000.0,2.0,,12.0,South,2064.0,2007.0,18.0,,,3.0,4.0,"Bathroom, Parking",Lalitpur
"House for sale at Dhapasi, Grande","Dhapasi, Kathmandu",2.5,32500000.0,6.0,,10.0,East,2078.0,2021.0,4.0,,,5.0,1.0,"Drinking Water, Bathroom, Drainage, Power Backup, Power Backup, Parking",Kathmandu
"Full furnished house on rent in Imadol, Lalitpur","Lalitpur, Lalitpur",2.5,90000.0,4.0,,40.0,South-East,,,,,,5.0,5.0,"Power Backup, Drainage, Bathroom, Drinking Water",Lalitpur
Beautiful house on sale in Budhanilkantha,"Budhanilkantha, Kathmandu",2.5,45000000.0,5.2,,15.0,East,2055.0,1998.0,27.0,,,6.0,5.0,"Power Backup, Drinking Water, Bathroom, Drainage, Parking",Kathmandu
Semi commercial house for sale at Hattigauda,"Hattigaunda, Kathmandu",2.5,37500000.0,6.0,840.0,14.0,North-East,2075.0,2018.0,7.0,,,7.0,5.0,"Earthquake Resistant, Marbel, Fridge, Sofa, Power Backup, Dining Room, MiCrowave, Washing Machine, Bed Room, Garden, Modular Kitchen",Kathmandu
Commercial building for sale in Imadol,"Imadol, Lalitpur",4.0,125000000.0,15.3,,22.0,North,2061.0,2004.0,21.0,,,6.0,4.0,"CC Camera, Power Backup, Marbel, Gym, Bathroom, Drainage, Garden, Drinking Water, Parking, Power Backup",Lalitpur
Residential bungalow for rent in Hattigauda,"Hattigaunda, Kathmandu",2.0,150000.0,11.0,,18.0,,2075.0,2018.0,7.0,,,5.0,5.0,"Power Backup, Bathroom, Drinking Water, Drainage, Parking",Kathmandu
"Beautiful house on sale in Baluwakhani, Kapan","Baluwakhani, Kathmandu",2.5,34500000.0,5.1,,13.0,East,2078.0,2021.0,4.0,,,7.0,5.0,"Power Backup, Bathroom, Drainage, Parking, Drinking Water",Kathmandu
Attractive house for rent in Baluwatar,"Baluwatar, Kathmandu",2.0,300000.0,17.0,,15.0,East,2074.0,2017.0,8.0,,,10.0,3.0,"Drinking Water, Bathroom, Parking, Drainage, Power Backup, Garden",Kathmandu
"House on sale in Jambu Danda, Jorpati","Jorpati, Kathmandu",2.5,14300000.0,2.2,,12.0,South,2062.0,2005.0,20.0,,,3.0,3.0,"Marbel, Internet, Drinking Water, Bathroom, Drainage, Parking",Kathmandu
"House on sale at Uttardhoka, Gairidhara","Uttardhoka, Kathmandu",5.0,65000000.0,6.0,,16.0,South-West,2078.0,2021.0,4.0,,,9.0,9.0,"Power Backup, Parking, Modular Kitchen, Drinking Water, Bathroom",Kathmandu
