category,ad_id,title,location_raw,district,neighborhood,road_type,raw_price,land_size_aana,price_per_aana,calculated_total_price,is_price_suspect,is_price_outlier,is_rate_outlier,is_large_plot
land,HB-FB454B,"4 Aana Land for Sale in Kapan, Near Ram Mandir","Budhanilkantha, Budhanilkantha Municipality, Kathmandu",Kathmandu,Budhanilkantha,Unknown,17000000.0,4.0,17000000.0,68000000.0,False,False,False,False
land,HB-698F96,8 aana land for sale/exchange in Hepali Height,"Dhapasi, Tokha-5, Kathmandu",Kathmandu,Dhapasi,Unknown,6400000.0,8.0,6400000.0,51200000.0,False,False,False,False
land,HB-B33403,land for sale bhaisepati lalitapur 6 aana,"Bhaisepati, Lalitpur, Lalitpur Metropolitan City, Lalitpur",Lalitpur,Bhaisepati,Above 20 Ft,6800000.0,6.0,6800000.0,40800000.0,False,False,False,False
land,HB-918768,"Land for Sale in Jadibuti, Koteshwor – 5 Aana!","Jadibuti Petrol Pump, Kathmandu-32, Kathmandu",Kathmandu,Jadibuti Petrol Pump,Pitched Road,6000000.0,5.0,6000000.0,30000000.0,False,False,False,False
land,HB-8D98C1,Urgent 6.5 Ana Land Sale At Budhanilkantha,"Budhanilkantha Municipality, Kathmandu",Kathmandu,Budhanilkantha,13-20 Ft,4700000.0,6.0,4700000.0,28200000.0,False,False,False,False
land,HB-4FCE8B,"Land On Sale At Chapali, Budhanilkantha","Chapali Ghumti, Golphutar Main Sadak, Budhanilakantha-4, Kathmandu",Kathmandu,Chapali Ghumti,Pitched Road,4700000.0,16.0,4700000.0,75200000.0,False,False,False,False
land,HB-8CFD79,Commercial Land for sale at Jhamsikhel,"Jhamsikhel, Lalitpur-3, Lalitpur",Lalitpur,Jhamsikhel,Unknown,8500000.0,10.226442658875092,8500000.0,86924762.60043828,False,False,False,False
land,HB-FA1381,Semi Commercial Land Near Gems Dhapakhel Lalitpur,"Thulo Pandhero Marg, Hattiban, Lalitpur, Lalitpur Metropolitan City, Lalitpur",Lalitpur,Hattiban,13-20 Ft,4100000.0,4.0,4100000.0,16400000.0,False,False,False,False
land,HB-27FE4E,Residential property on sale near sano bharyang,"Cashmere Land, J.p. School Road, Kathmandu-16, Kathmandu",Kathmandu,Cashmere Land,Pitched Road,6700000.0,5.2,6700000.0,34840000.0,False,False,False,False
land,HB-0D686F,Semi Commercial Land for sale at sanepa,"Sanepa Height, Lalitpur-2, Lalitpur",Lalitpur,Sanepa,Unknown,8200000.0,17.0,8200000.0,139400000.0,False,False,False,False
land,HB-DA93E5,land for sale imadol lalitpur 14 aana,"Mahalaxmi-2, Lalitpur, Bagmati Pradesh",Lalitpur,Mahalaxmi,Above 20 Ft,5000000.0,14.0,5000000.0,70000000.0,False,False,False,False
