neighborhood,district,location_raw,price_per_aana,land_size_aana,calculated_total_price,road_width_feet,road_type,facing,is_wide_road,is_price_suspect,is_large_plot,is_rate_outlier,is_price_outlier
Dhobighat,Lalitpur,"Dhobighat, Lalitpur",7500000.0,,,,,East,False,False,False,False,False
Lubhu,Lalitpur,"Lubhu, Lalitpur",3600000.0,3.1,11160000.0,13.0,Gravel,South,False,False,False,False,False
Chabahil,Kathmandu,"Chabahil, Kathmandu",5100000.0,,,20.0,Pitched,South,False,False,False,False,False
Thankot,Kathmandu,"Thankot, Kathmandu",2500000.0,,,13.0,Pitched,East,False,False,False,False,False
Raniban,Kathmandu,"Raniban, Kathmandu",5500000.0,,,,,North,False,False,False,False,False
Tokha Chandeshwori,Kathmandu,"Tokha Chandeshwori, Kathmandu",3000000.0,28.2,84600000.0,14.0,Gravel,South,False,False,False,False,False
Chapagaun,Lalitpur,"Chapagaun, Lalitpur",1800000.0,4.2,7560000.0,20.0,Pitched,North-East,False,False,False,False,False
Lamatar,Lalitpur,"Lamatar, Lalitpur",2500000.0,,,20.0,Gravel,North-East,False,False,False,False,False
Bode,Bhaktapur,"Bode, Bhaktapur",3700000.0,,,25.0,Pitched,North-West,False,False,False,False,False
Dahachowk,Kathmandu,"Dahachowk, Kathmandu",2350000.0,,,15.0,Pitched,South-West,False,False,False,False,False
Bansbari,Kathmandu,"Bansbari, Kathmandu",5500000.0,5.1,28049999.999999996,20.0,Pitched,West,False,False,False,False,False
"Unknown, Lalitpur",Lalitpur,", Lalitpur",1600000.0,,,20.0,Paved,South-East,False,False,False,False,False
Bhanimandal,Lalitpur,"Bhanimandal, Lalitpur",,,,,,North,False,False,False,False,False
Satungal,Kathmandu,"Satungal, Kathmandu",3800000.0,4.1,15579999.999999998,20.0,Paved,South-East,False,False,False,False,False
Golfutar,Kathmandu,"Golfutar, Kathmandu",8000000.0,15.2,121600000.0,22.0,Pitched,South,False,False,False,False,False
Kaushaltar,Bhaktapur,"Kaushaltar, Bhaktapur",4500000.0,,,13.0,Pitched,North,False,False,False,False,False
Machhe Gaun,Kathmandu,"Machhe Gaun, Kathmandu",2400000.0,10.2,24480000.0,13.0,Gravel,North-West,False,False,False,False,False
Rarahill,Kathmandu,"Rarahill, Kathmandu",3400000.0,4.2,14280000.0,13.0,Gravel,North-East,False,False,False,False,False
Rarahill,Kathmandu,"Rarahill, Kathmandu",3400000.0,5.2,17680000.0,13.0,Gravel,North-East,False,False,False,False,False
Jhulpokhari,Kathmandu,"Jhulpokhari, Kathmandu",2300000.0,8.2,18860000.0,13.0,Gravel,East,False,False,False,False,False
Greenland Chowk,Kathmandu,"Greenland Chowk, Kathmandu",4700000.0,,,13.0,Pitched,West,False,False,False,False,False
Sukedhara,Kathmandu,"Sukedhara, Kathmandu",6800000.0,,,24.0,Pitched,East,False,False,False,False,False
Taukhel,Lalitpur,"Taukhel, Lalitpur",2500000.0,4.1,10250000.0,,,East,False,False,False,False,False
Lokanthali,Bhaktapur,"Lokanthali, Bhaktapur",6500000.0,5.2,33800000.0,26.0,Gravel,East,False,False,False,False,False
Bhaisepati,Lalitpur,"Bhaisepati, Lalitpur",5200000.0,,,,,South-East,False,False,False,False,False
Dahachowk,Kathmandu,"Dahachowk, Kathmandu",3500000.0,,,13.0,Gravel,South-East,False,False,False,False,False
Dahachowk,Kathmandu,"Dahachowk, Kathmandu",2500000.0,,,13.0,Gravel,South-East,False,False,False,False,False
Chapagaun,Lalitpur,"Chapagaun, Lalitpur",1000000.0,,,20.0,Gravel,West,False,False,False,False,False
Thaiba,Lalitpur,"Thaiba, Lalitpur",2800000.0,,,10.0,Gravel,South,False,False,False,False,False
Lokanthali,Bhaktapur,"Lokanthali, Bhaktapur",6500000.0,,,20.0,Gravel,South,False,False,False,False,False
Lakhan Chowk,Rupandehi,"Lakhan Chowk, Rupandehi",,0.12,,25.0,Pitched,East,False,False,False,False,False
Pepsicola,Kathmandu,"Pepsicola, Kathmandu",5800000.0,4.2,24360000.0,13.0,Paved,East,False,False,False,False,False
Balkot,Bhaktapur,"Balkot, Bhaktapur",6500000.0,,,26.0,Paved,North,False,False,False,False,False
Machhe Gaun,Kathmandu,"Machhe Gaun, Kathmandu",1850000.0,5.2,9620000.0,18.0,Paved,South-East,False,False,False,False,False
Dhapakhel,Lalitpur,"Dhapakhel, Lalitpur",2200000.0,,,18.0,Gravel,North-East,False,False,False,False,False
Sudal,Bhaktapur,"Sudal, Bhaktapur",2100000.0,4.1,8610000.0,20.0,Pitched,South-East,False,False,False,False,False
Sipadol,Bhaktapur,"Sipadol, Bhaktapur",3400000.0,,,13.0,Gravel,North-East,False,False,False,False,False
Sanothimi,Bhaktapur,"Sanothimi, Bhaktapur",4200000.0,3.3,13860000.0,20.0,Gravel,West,False,False,False,False,False
Dhapasi,Kathmandu,"Dhapasi, Kathmandu",4500000.0,5.2,23400000.0,13.0,Gravel,South-East,False,False,False,False,False
Dadhikot,Bhaktapur,"Dadhikot, Bhaktapur",2800000.0,,,20.0,Paved,North,False,False,False,False,False
Syuchatar,Kathmandu,"Syuchatar, Kathmandu",3500000.0,,,13.0,Paved,South-West,False,False,False,False,False
Sirutar,Bhaktapur,"Sirutar, Bhaktapur",3500000.0,,,13.0,Gravel,South,False,False,False,False,False
Bhaisepati,Lalitpur,"Bhaisepati, Lalitpur",4700000.0,6.3,29610000.0,13.0,Gravel,South,False,False,False,False,False
Namgel,Kathmandu,"Namgel, Kathmandu",2968750.0,3.2,9500000.0,13.0,Pitched,South,False,False,False,False,False
