ad_id,title,location_raw,district,neighborhood,road_type,raw_price,land_size_aana,price_per_aana,calculated_total_price,is_price_suspect,is_price_outlier,is_rate_outlier,is_large_plot
HB-EBBC07,"Land on Sale at Maharajgunj, code no: GJBLOS 3394","Maharajgunj, Kathmandu",Kathmandu,Maharajgunj,Above 20 Ft,9500000.0,20.0,9500000.0,190000000.0,False,False,False,False
HB-E15558,"Land on sale at Dhumbharai Pepalbot, Kathmandu","dumbarahi, Dhumbarahi, Kathmandu",Kathmandu,Dumbarahi,Pitched Road,5500000.0,10.75,5500000.0,59125000.0,False,False,False,False
HB-2E5CE8,Chauni Height Ma 20 Aana Residential Jagga Bikrima,"helipad road, Dallu, Kimdol, Kathmandu, Kathmandu Metropolitan City, Kathmandu",Kathmandu,Dallu,13-20 Ft,6000000.0,20.0,6000000.0,120000000.0,False,False,False,False
HB-B2976F,Dallu Awas Najikai 21 Aana Jagga Bikrima,"Dallu, Chamati, Kathmandu, Kathmandu Metropolitan City, Kathmandu",Kathmandu,Dallu,13-20 Ft,6000000.0,21.0,6000000.0,126000000.0,False,False,False,False
HB-B766CE,Baneshwor Ma 14 Aana Commercial Janna Bikrima,"The Everest Hotel Kathmandu, Radha Mohan Marga, Suruchi Tol, Naya Baneshwar, Kathmandu, Kathmandu Metropolitan City, Kathmandu",Kathmandu,Suruchi Tol,Above 20 Ft,9500000.0,14.0,9500000.0,133000000.0,False,False,False,False
HB-A2E476,14 Aana commercial land for sale at kuleshwor,"Kuleshwor, Kathmandu",Kathmandu,Kuleshwor,,10000000.0,14.0,10000000.0,140000000.0,False,False,False,False
HB-AA2D8E,"8 ana Land on sale in Budhanilkantha, Bhangal","bangal, Bhangal (Budhanilkantha), Kathmandu",Kathmandu,Bangal,Gravel Road,4200000.0,8.0,4200000.0,33600000.0,False,False,False,False
HB-B4B7B2,land on sale,"Kalanki, कलंकी, Kathmandu-14, काठमाडौं, काठमाडौँ महानगरपालिका, काठमाडौं, बाग्मती प्रदेश, 44614, नेपाल",Kathmandu,Kalanki,Above 20 Ft,4850000.0,8.0,4850000.0,38800000.0,False,False,False,False
HB-468DD4,"Land on sale at Chapali (Ncell Chowk), Kathmandu","chepali, Chapali (Budhanilkantha), Kathmandu",Kathmandu,Chepali,Pitched Road,4000000.0,3.3,1212121.2121212122,4000000.0,False,False,False,False
HB-AD80E0,"Land on sale at Baluwatar , Kathmandu","Baluwatar, Kathmandu",Kathmandu,Baluwatar,Pitched Road,7000000.0,5.0,1400000.0,7000000.0,False,False,False,False
