url,source,category,district,property_id,title,total_price_raw,property_type,property_face,year_built,road_type,negotiable,furnishing,city_area,pricing_raw,purpose,property_area,built_up_area,road_access,dimension,date_posted,views,municipality,ward_no,ring_road,landmark,hospital,airport,pharmacy,bhatbhateni,school,college,gym,public_transport,police_station,pashupatinath,boudhanath,atm,hotel,restaurant,banquet,ward_office,neighborhood,property_type_stat,land_area_aana,bedrooms,kitchens,bathrooms,living_rooms,parking,total_floors
https://lalpurjanepal.com.np/properties/semi-commercial-house-for-sale-at-budhanilkantha-6831,lalpurja,house,Kathmandu,6831,Property Details,5 Crore,Commercial,North-East,2068,Blacktopped,Yes,Semi Furnished,"Kathmandu, Budhanilkantha",5 Crore,Sale,5 Aana,1200 square-feet,26 Feet,,2025 June 3,363.0,Budhanilkantha,09,800m,,,,,,,,,,,,,,,,,,Budhanilkantha,,,7,3,5,3,2,3
https://lalpurjanepal.com.np/properties/house-for-sale-at-bulbule-chabahil-6819,lalpurja,house,Kathmandu,6819,Property Details,3 Crore 15 Lakh,Residential,East,2060,Paved,Yes,,"Kathmandu, Chabahil",3 Crore 15 Lakh,Sale,3.35 Aana,1026.75 square-feet,10 Feet,,2025 June 2,473.0,Kathmandu,07,,,,,,,,,,,,,,,,,,,Chabahil,,,7,2,3,1,1,2.5
https://lalpurjanepal.com.np/properties/house-for-sale-at-budhanilkantha-6818,lalpurja,house,Kathmandu,6818,Property Details,4 Crore 35 Lakh,Residential,West,2025,Blacktopped,Yes,Semi Furnished,"Kathmandu, Budhanilkantha",4 Crore 35 Lakh,Sale,5.15 Aana,1200 square-feet,13 Feet,,2025 June 2,367.0,Budhanilkantha,08,2km,,,,,,,,,,,,,,,,,,Budhanilkantha,,,6,2,5,2,2,2.5
https://lalpurjanepal.com.np/properties/house-for-sale-at-nilopul-sukedhara-6817,lalpurja,house,Kathmandu,6817,Property Details,7 Crore 25 Lakh,Residential,East,2081,Blacktopped,Yes,,"Kathmandu, Sukedhara",7 Crore 25 Lakh,Sale,7 Aana,1197.87 square-feet,15 Feet,,2025 June 2,422.0,Budhanilkantha,09,,,,,,,,,,,,,,,,,,,Sukedhara,,,6,2,7,3,3,2.5
https://lalpurjanepal.com.np/properties/land-for-sale-at-budhanilkantha-6816,lalpurja,house,Kathmandu,6816,Property Details,42 Lakh Per Aana,Residential,East,,Gravelled,Yes,,"Kathmandu, Budhanilkantha",42 Lakh Per Aana,Sale,7 Aana,,13 Feet,F 35 Feet,2025 June 2,148.0,Budhanilkantha,08,3km,,,,,,,,,,,,,,,,,,Budhanilkantha,,,,,,,,
https://lalpurjanepal.com.np/properties/house-for-sale-at-budhanilkantha-6815,lalpurja,house,Kathmandu,6815,Property Details,4 Crore 40 Lakh,Residential,South-East,2025,Blacktopped,Yes,Semi Furnished,"Kathmandu, Budhanilkantha",4 Crore 40 Lakh,Sale,5 Aana,1200 square-feet,13 Feet,,2025 June 2,126.0,Budhanilkantha,08,2km,,,,,,,,,,,,,,,,,,Budhanilkantha,,,6,2,5,2,2,2.5
https://lalpurjanepal.com.np/properties/house-for-sale-at-budhanilkantha-6814,lalpurja,house,Kathmandu,6814,Property Details,4 Crore 40 Lakh,Residential,West,2025,Blacktopped,Yes,Semi Furnished,"Kathmandu, Budhanilkantha",4 Crore 40 Lakh,Sale,5 Aana,1200 square-feet,16 Feet,,2025 June 2,205.0,Budhanilkantha,08,2km,,,,,,,,,,,,,,,,,,Budhanilkantha,,,6,2,5,2,2,2.5
https://lalpurjanepal.com.np/properties/land-for-sale-at-budhanilkantha-6813,lalpurja,house,Kathmandu,6813,Property Details,68 Lakh Per Aana,Residential,East,,Blacktopped,Yes,,"Kathmandu, Budhanilkantha",68 Lakh Per Aana,Sale,7 Aana,,16 Feet,,2025 June 2,187.0,Budhanilkantha,09,800m,,,,,,,,,,,,,,,,,,Budhanilkantha,,,,,,,,
https://lalpurjanepal.com.np/properties/house-for-sale-at-balaju-6789,lalpurja,house,Kathmandu,6789,Property Details,2 Crore 80 Lakh,Residential,South,2015,Paved,Yes,,"Kathmandu, Balaju",2 Crore 80 Lakh,Sale,3.75 Aana,1026.75 square-feet,13 Feet,,2025 June 1,798.0,Kathmandu,16,100m,,,,,,,,,,,,,,,,,,Balaju,,,11,,4,,2,2.5
https://lalpurjanepal.com.np/properties/2-hostel-for-sale-at-kalikastan-6783,lalpurja,house,Kathmandu,6783,Property Details,30 Lakh,Commercial,South-East,,Paved,Yes,Full Furnished,"Kathmandu, Kalikastan",30 Lakh,Sale,7 Aana,,13 Feet,,2025 May 31,544.0,Kathmandu,29,1km,,,,,,,,,,,,,,,,,,Kalikastan,,,23,1,10,,7,3
https://lalpurjanepal.com.np/properties/house-for-sale-at-baniyatar-tokha-6782,lalpurja,house,Kathmandu,6782,Property Details,4 Crore 25 Lakh,Residential,North-East,2063,Blacktopped,Yes,Unfurnished,"Kathmandu, Baniyatar",4 Crore 25 Lakh,Sale,10 Aana,4 aana,13 Feet,F 42 Feet,2025 May 30,265.0,Tokha,08,2km,,,,,,,,,,,,,,,,,,Baniyatar,,,8,3,6,2,4,2.5
https://lalpurjanepal.com.np/properties/hous-for-sale-in-sukedhara-6779,lalpurja,house,Kathmandu,6779,Property Details,65 Lakh Per Aana,Residential,East,2060,Blacktopped,Yes,Unfurnished,"Kathmandu, Sukedhara",65 Lakh Per Aana,Sale,13 Aana,,11 Feet,,2025 May 30,176.0,kathmandu,03,800m,,,,,,,,,,,,,,,,,,Sukedhara,,,4,1,4,1,3,2.5
https://lalpurjanepal.com.np/properties/house-for-sale-at-sukedhara-6777,lalpurja,house,Kathmandu,6777,Property Details,3 Crore 25 Lakh,Residential,North-East,2066 B S,Blacktopped,Yes,Unfurnished,"Kathmandu, Sukedhara",3 Crore 25 Lakh,Sale,3.93 Aana,,12 Feet,,2025 May 30,164.0,Budanilkantha,09,,,,,,,,,,,,,,,,,,,Sukedhara,,,3,2,2,2,1,2.5
https://lalpurjanepal.com.np/properties/house-for-sale-at-gothatar-6772,lalpurja,house,Kathmandu,6772,Property Details,3 Crore 50 Lakh,Residential,West,2077,Blacktopped,Yes,Semi Furnished,"Kathmandu, Gothatar",3 Crore 50 Lakh,Sale,4 Aana,2389.65 square-feet,20 Feet,F 26 | F 26 | F 9 | F 54 Feet,2025 May 29,242.0,Kageshwori Manohara,09,1.7km,,,,,,,,,,,,,,,,,,Gothatar,,,5,2,7,2,5,2.5
https://lalpurjanepal.com.np/properties/east-face-bungalow-for-sale-at-pepsicola-6771,lalpurja,house,Kathmandu,6771,Property Details,9 Crore 90 Lakh,Residential,East,2069,Blacktopped,Yes,Semi Furnished,"Kathmandu, Pepsicola",9 Crore 90 Lakh,Sale,13.75 Aana,3217.76 square-feet,20 Feet,F 46 Feet | F 44 Feet | F 107 Feet | F 97 Feet,2025 May 29,1164.0,Kathmandu,32,1.7km,,,,,,,,,,,,,,,,,,Pepsicola,,,5,1,4,2,9,2.5
https://lalpurjanepal.com.np/properties/house-for-sale-at-chunikhel-6763,lalpurja,house,Kathmandu,6763,Property Details,1 Crore 60 Lakh,Residential,South-East,2075,Blacktopped,Yes,Unfurnished,"Kathmandu, Bhangal",1 Crore 60 Lakh,Sale,2.62 Aana,,16 Feet,,2025 May 28,476.0,Budanilkantha,13,,,,,,,,,,,,,,,,,,,Bhangal,,,10,2,,2,,2.5
https://lalpurjanepal.com.np/properties/house-for-sale-at-koteshwor-6760,lalpurja,house,Kathmandu,6760,Property Details,3 Crore,Commercial,West,2073,Paved,Yes,Semi Furnished,"Kathmandu, Koteshwor",3 Crore,Sale,3 Aana,1090.814 square-feet,8 Feet,,2025 May 28,245.0,Kathmandu,32,100m,,,,,,,,,,,,,,,,,,Koteshwor,,,11,4,5,,7,3
https://lalpurjanepal.com.np/properties/house-for-sale-at-kapan-6756,lalpurja,house,Kathmandu,6756,Property Details,5 Crore 20 Lakh,Residential,East,2079,Blacktopped,Yes,Full Furnished,"Kathmandu, Kapan",5 Crore 20 Lakh,Sale,5 Aana,1711.25 square-feet,16 Feet,F 54 Feet,2025 May 28,199.0,Budhanilkanta,10,200m,,,,,,,,,,,,,,,,,,Kapan,,,8,3,6,3,6,3.5
https://lalpurjanepal.com.np/properties/house-for-sale-at-kapan-height-6754,lalpurja,house,Kathmandu,6754,Property Details,2 Crore 15 Lakh,Residential,East,2074,alley,Yes,Full Furnished,"Kathmandu, Kapan",2 Crore 15 Lakh,Sale,3 Aana,1026.75 square-feet,13 Feet,F 29 Feet,2025 May 28,245.0,Budhanilkanta,11,200m,,,,,,,,,,,,,,,,,,Kapan,,,5,2,3,2,5,2.5
https://lalpurjanepal.com.np/properties/house-for-sale-at-kapan-6753,lalpurja,house,Kathmandu,6753,Property Details,2 Crore 70 Lakh,Residential,West,2081,alley,Yes,Full Furnished,"Kathmandu, Kapan",2 Crore 70 Lakh,Sale,3 Aana,1026.75 square-feet,13 Feet,F 45 Feet,2025 May 28,215.0,Budhanilkanta,11,300m,,,,,,,,,,,,,,,,,,Kapan,,,6,3,3,3,5,3.5
https://lalpurjanepal.com.np/properties/house-for-sale-at-anamnagar-hanumansthan-6748,lalpurja,house,Kathmandu,6748,Property Details,11 Crore,Residential,South,,Blacktopped,Yes,Full Furnished,"Kathmandu, Anamnagar",11 Crore,Sale,7.5 Aana,1026.75 square-feet,16 Feet,,2025 May 27,214.0,Kathmandu,29,1km,,,,,,,,,,,,,,,,,,Anamnagar,,,12,3,2,,7,3
https://lalpurjanepal.com.np/properties/house-on-sale-at-golfutar-6732,lalpurja,house,Kathmandu,6732,Property Details,3 Crore 50 Lakh,Residential,North-West,2062,Gravelled,Yes,Unfurnished,"Kathmandu, Golfutar",3 Crore 50 Lakh,Sale,4.62 Aana,,13 Feet,,2025 May 26,216.0,Budanilkantha,08,2.5km,,,,,,,,,,,,,,,,,,Golfutar,,,4,1,3,1,1,2.5
https://lalpurjanepal.com.np/properties/house-for-sale-at-golfutar-6730,lalpurja,house,Kathmandu,6730,Property Details,3 Crore 30 Lakh,Residential,East,2071,Blacktopped,Yes,Unfurnished,"Kathmandu, Golfutar",3 Crore 30 Lakh,Sale,4 Aana,1369 square-feet,13 Feet,,2025 May 26,209.0,Budanilkantha,08,2km,,,,,,,,,,,,,,,,,,Golfutar,,,4,1,3,1,1,2.5
