district,property_type,property_face,road_type,municipality,ward_no,neighborhood,price_per_aana,land_size_aana,road_width_feet,facing_road_width,hospital_m,airport_m,pharmacy_m,bhatbhateni_m,school_m,public_transport_m,police_station_m,ring_road_m,ring_road_proximity,comm_road_premium,is_corner_plot
Kathmandu,Residential,North-West,High Access,Kathmandu,31,Mid Baneshowr,9000000.0,10.5,8.0,55.0,300.0,1000.0,200.0,1000.0,200.0,300.0,400.0,1000.0,0.1447438839476537,0.0,1
Kathmandu,Residential,South-East,High Access,Budhanilkantha,12,Kapan,6500000.0,6.0,14.0,28.0,1000.0,7000.0,300.0,4000.0,500.0,500.0,50.0,4000.0,0.12056473085830295,0.0,1
Kathmandu,Residential,North-West,Low Access,Budhanilkantha,13,Kapan,3500000.0,14.0,12.0,33.0,300.0,8000.0,200.0,600.0,200.0,500.0,300.0,2500.0,0.12780457668621606,0.0,1
Kathmandu,Residential,North,Low Access,Budhanilkantha,13,Kapan,3000000.0,8.0,13.0,35.0,4000.0,8000.0,400.0,600.0,400.0,500.0,300.0,2500.0,0.12780457668621606,0.0,0
Kathmandu,Residential,South-East,Low Access,Budhanilkantha,13,Kapan,3500000.0,8.0,16.0,36.0,500.0,7000.0,300.0,400.0,300.0,400.0,200.0,400.0,0.16683457378359495,0.0,1
Kathmandu,Residential,South,Low Access,Budhanilkantha,11,Kapan,1000000.0,10.0,15.0,26.0,4000.0,8000.0,400.0,6000.0,400.0,500.0,300.0,3000.0,0.12489538691450888,0.0,0
Kathmandu,Residential,West,Low Access,Budhanilkantha,6,Hattigauda,6600000.0,4.25,13.0,28.0,1000.0,6000.0,200.0,2500.0,500.0,250.0,800.0,2000.0,0.13155467320159442,0.0,0
Kathmandu,Residential,West,High Access,Kageshwori Manohara,4,Mulpani,3000000.0,3.25,13.0,28.0,1000.0,13000.0,500.0,6000.0,1000.0,500.0,500.0,6000.0,0.11494673815138318,0.0,0
Kathmandu,Residential,South,High Access,Kathmandu,3,Basundhara,6500000.0,3.5,13.0,29.0,150.0,6000.0,50.0,5000.0,500.0,150.0,1700.0,8000.0,0.1112678527400893,0.0,0
Kathmandu,Residential,East,High Access,Kathmandu,32,Koteshwor,8000000.0,3.0,13.0,30.0,400.0,1000.0,200.0,500.0,200.0,300.0,400.0,1000.0,0.1447438839476537,0.0,0
Kathmandu,Residential,North-West,Low Access,Budhanilkantha,2,Pasikot,3500000.0,4.0,16.0,33.0,300.0,7000.0,400.0,500.0,300.0,400.0,300.0,500.0,0.1608594760130434,0.0,1
Kathmandu,Commercial,West,High Access,Budhanilkantha,2,Chapali,7000000.0,6.0,16.0,35.0,500.0,8000.0,200.0,6000.0,300.0,300.0,400.0,500.0,0.1608594760130434,16.0,0
Kathmandu,Residential,South-West,Low Access,Budhanilkantha,10,High_Zone,6500000.0,7.5,16.0,34.0,300.0,7000.0,200.0,300.0,200.0,250.0,200.0,300.0,0.1752200244275466,0.0,1
Kathmandu,Commercial,North,High Access,Tokha,3,Tokha,4500000.0,3.85,36.0,35.0,2000.0,9000.0,500.0,2000.0,300.0,50.0,1000.0,5000.0,0.1174068144882187,36.0,0
Kathmandu,Commercial,East,High Access,Kathmandu,4,Dhumbarahi,9500000.0,11.0,24.0,55.0,1000.0,3000.0,500.0,1000.0,100.0,100.0,1700.0,4000.0,0.12056473085830295,24.0,0
Kathmandu,Residential,South-East,Low Access,Budhanilkantha,13,Budhanilkantha,4000000.0,4.5,26.0,37.0,6000.0,9000.0,400.0,6000.0,400.0,3000.0,500.0,600.0,0.1562843108887373,0.0,1
Kathmandu,Residential,West,High Access,Kathmandu,4,Dhumbarahi,8000000.0,9.87,16.0,28.0,500.0,7000.0,300.0,700.0,300.0,500.0,400.0,500.0,0.1608594760130434,0.0,0
