district,road_type,land_size_aana,price_per_aana,is_large_plot,road_width_feet,is_wide_road,facing,source,log_land,neighborhood_encoded,road_quality_score,neighborhood_x_district,plot_size_category,location_tier,large_plot_x_neighborhood
1,2,6.0,6700000.0,0,13.0,0,7,0,1.9459101490553128,15.828606380637405,2.255622931846103,15.828606380637405,2,5,0.0
1,2,10.0,6500000.0,0,13.0,0,7,0,2.3978952727983707,15.371640665662255,2.255622931846103,15.371640665662255,2,4,0.0
1,0,8.0,17500000.0,0,13.0,0,7,0,2.19722457733622,15.828606380637405,1.0556229318461035,15.828606380637405,2,5,0.0
1,3,4.0,2500000.0,0,13.0,0,7,0,1.6094379124341005,14.663045095681252,2.8556229318461033,14.663045095681252,1,1,0.0
1,0,5.0,7000000.0,0,13.0,0,7,0,1.791759469228055,15.797351059185896,1.0556229318461035,15.797351059185896,2,5,0.0
1,0,4.0,6500000.0,0,13.0,0,7,0,1.6094379124341005,15.245256633717792,1.0556229318461035,15.245256633717792,1,2,0.0
2,1,4.0,4500000.0,0,13.0,0,7,0,1.6094379124341005,15.371640665662255,1.6556229318461035,30.74328133132451,1,4,0.0
2,2,4.0,3500000.0,0,13.0,0,7,0,1.6094379124341005,14.871275810783608,2.255622931846103,29.742551621567216,1,1,0.0
2,2,4.0,3500000.0,0,13.0,0,7,0,1.6094379124341005,14.871275810783608,2.255622931846103,29.742551621567216,1,1,0.0
1,2,3.0,3500000.0,0,13.0,0,7,0,1.3862943611198906,15.28609246171445,2.255622931846103,15.28609246171445,1,3,0.0
0,0,3.2,7000000.0,0,13.0,0,7,0,1.4350845252893227,15.797351059185896,1.0556229318461035,0.0,1,5,0.0
1,0,20.0,4600000.0,0,13.0,0,7,0,3.044522437723423,15.28609246171445,1.0556229318461035,15.28609246171445,3,3,0.0
2,0,8.0,2535000.0,0,13.0,0,7,0,2.19722457733622,14.871275810783608,1.0556229318461035,29.742551621567216,2,1,0.0
1,2,4.0,5600000.0,0,13.0,0,7,0,1.6094379124341005,15.28609246171445,2.255622931846103,15.28609246171445,1,3,0.0
1,1,10.0,3600000.0,0,13.0,0,7,0,2.3978952727983707,15.28609246171445,1.6556229318461035,15.28609246171445,2,3,0.0
1,0,7.0,4000000.0,0,13.0,0,7,0,2.079441541679836,15.28609246171445,1.0556229318461035,15.28609246171445,2,3,0.0
1,3,4.5,6500000.0,0,13.0,0,7,0,1.7047480922384253,15.594158762858596,2.8556229318461033,15.594158762858596,2,4,0.0
1,0,4.0,6300000.0,0,13.0,0,7,0,1.6094379124341005,15.720141408680858,1.0556229318461035,15.720141408680858,1,4,0.0
1,0,6.0,7000000.0,0,13.0,0,7,0,1.9459101490553128,15.720141408680858,1.0556229318461035,15.720141408680858,2,4,0.0
1,0,12.0,7000000.0,0,13.0,0,7,0,2.5649493574615367,15.720141408680858,1.0556229318461035,15.720141408680858,3,4,0.0
1,0,4.0,8200000.0,0,13.0,0,7,0,1.6094379124341005,15.797351059185896,1.0556229318461035,15.797351059185896,1,5,0.0
1,0,3.0,3500000.0,0,13.0,0,7,0,1.3862943611198906,15.295651115191047,1.0556229318461035,15.295651115191047,1,3,0.0
1,0,4.0,4400000.0,0,13.0,0,7,0,1.6094379124341005,15.295651115191047,1.0556229318461035,15.295651115191047,1,3,0.0
2,1,3.0,2300000.0,0,13.0,0,7,0,1.3862943611198906,14.473552156760146,1.6556229318461035,28.947104313520292,1,1,0.0
2,3,8.0,500000.0,0,13.0,0,7,0,2.19722457733622,13.95994567052874,2.8556229318461033,27.91989134105748,2,1,0.0
1,1,4.0,2700000.0,0,13.0,0,7,0,1.6094379124341005,14.871275810783608,1.6556229318461035,14.871275810783608,1,1,0.0
2,3,5.0,5000000.0,0,13.0,0,7,0,1.791759469228055,15.49449325266486,2.8556229318461033,30.98898650532972,2,4,0.0
2,3,18.0,4300000.0,0,13.0,0,7,0,2.9444389791664403,15.49449325266486,2.8556229318461033,30.98898650532972,3,4,0.0
2,3,3.1,4500000.0,0,13.0,0,7,0,1.410986973710262,15.49449325266486,2.8556229318461033,30.98898650532972,1,4,0.0
1,0,8.0,5990000.0,0,13.0,0,7,0,2.19722457733622,15.371640665662255,1.0556229318461035,15.371640665662255,2,4,0.0
0,0,4.0,4400000.0,0,13.0,0,7,0,1.6094379124341005,15.230403246494165,1.0556229318461035,0.0,1,2,0.0
2,0,8.0,11500000.0,0,13.0,0,7,0,2.19722457733622,15.324889802416322,1.0556229318461035,30.649779604832645,2,3,0.0
2,0,22.0,12500000.0,0,13.0,0,7,0,3.1354942159291497,15.415943755967746,1.0556229318461035,30.83188751193549,4,4,0.0
